region,year,wgs84,rd
regioplus_arbeidsmarktregio,2017,https://cartomap.github.io/nl/wgs84/regioplus_arbeidsmarktregio_2017.geojson,https://cartomap.github.io/nl/rd/regioplus_arbeidsmarktregio_2017.geojson
regioplus_arbeidsmarktregio,2018,https://cartomap.github.io/nl/wgs84/regioplus_arbeidsmarktregio_2018.geojson,https://cartomap.github.io/nl/rd/regioplus_arbeidsmarktregio_2018.geojson
regioplus_arbeidsmarktregio,2019,https://cartomap.github.io/nl/wgs84/regioplus_arbeidsmarktregio_2019.geojson,https://cartomap.github.io/nl/rd/regioplus_arbeidsmarktregio_2019.geojson
regioplus_arbeidsmarktregio,2020,https://cartomap.github.io/nl/wgs84/regioplus_arbeidsmarktregio_2020.geojson,https://cartomap.github.io/nl/rd/regioplus_arbeidsmarktregio_2020.geojson
regioplus_arbeidsmarktregio,2021,https://cartomap.github.io/nl/wgs84/regioplus_arbeidsmarktregio_2021.geojson,https://cartomap.github.io/nl/rd/regioplus_arbeidsmarktregio_2021.geojson
regioplus_arbeidsmarktregio,2022,https://cartomap.github.io/nl/wgs84/regioplus_arbeidsmarktregio_2022.geojson,https://cartomap.github.io/nl/rd/regioplus_arbeidsmarktregio_2022.geojson
regioplus_arbeidsmarktregio,2023,https://cartomap.github.io/nl/wgs84/regioplus_arbeidsmarktregio_2023.geojson,https://cartomap.github.io/nl/rd/regioplus_arbeidsmarktregio_2023.geojson
ressort,2015,https://cartomap.github.io/nl/wgs84/ressort_2015.geojson,https://cartomap.github.io/nl/rd/ressort_2015.geojson
ressort,2016,https://cartomap.github.io/nl/wgs84/ressort_2016.geojson,https://cartomap.github.io/nl/rd/ressort_2016.geojson
ressort,2017,https://cartomap.github.io/nl/wgs84/ressort_2017.geojson,https://cartomap.github.io/nl/rd/ressort_2017.geojson
ressort,2018,https://cartomap.github.io/nl/wgs84/ressort_2018.geojson,https://cartomap.github.io/nl/rd/ressort_2018.geojson
ressort,2019,https://cartomap.github.io/nl/wgs84/ressort_2019.geojson,https://cartomap.github.io/nl/rd/ressort_2019.geojson
ressort,2020,https://cartomap.github.io/nl/wgs84/ressort_2020.geojson,https://cartomap.github.io/nl/rd/ressort_2020.geojson
ressort,2021,https://cartomap.github.io/nl/wgs84/ressort_2021.geojson,https://cartomap.github.io/nl/rd/ressort_2021.geojson
ressort,2022,https://cartomap.github.io/nl/wgs84/ressort_2022.geojson,https://cartomap.github.io/nl/rd/ressort_2022.geojson
ressort,2023,https://cartomap.github.io/nl/wgs84/ressort_2023.geojson,https://cartomap.github.io/nl/rd/ressort_2023.geojson
rpagebied,2002,https://cartomap.github.io/nl/wgs84/rpagebied_2002.geojson,https://cartomap.github.io/nl/rd/rpagebied_2002.geojson
rpagebied,2003,https://cartomap.github.io/nl/wgs84/rpagebied_2003.geojson,https://cartomap.github.io/nl/rd/rpagebied_2003.geojson
rpagebied,2004,https://cartomap.github.io/nl/wgs84/rpagebied_2004.geojson,https://cartomap.github.io/nl/rd/rpagebied_2004.geojson
rpagebied,2005,https://cartomap.github.io/nl/wgs84/rpagebied_2005.geojson,https://cartomap.github.io/nl/rd/rpagebied_2005.geojson
